InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Retire,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
48,47,Devin Cooley,https://www.nhl.com/player/8482445,0,USA,1997-05-25,28,192,77,3,False,False,False,False,False,True,True,False,False,False,0,3169168,3169168,3169168,3169168,0,0,0,0,0,0,0,,0,100,0,8482445,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,75,84,79,88,74,73,75,74,73,75,74,68,81,52,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,48,Devon Levi,https://www.nhl.com/player/8482221,3,CAN,2001-12-27,23,192,72,4,False,False,False,False,False,True,True,False,False,False,0,3771289,3771289,3771289,3771289,3771289,0,0,0,0,0,0,,0,99,0,8482221,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,81,90,86,73,80,79,82,80,79,81,80,64,71,58,42,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14345,1,3,0,0,12,101,52,2,0,0,0,4,0,0,0,1,0,120,360,360,
50,49,Domenic DiVincentiis,https://www.nhl.com/player/8483711,0,CAN,2004-03-04,21,191,74,2,False,False,False,False,False,True,True,False,False,False,0,3129583,3129583,3129583,0,0,0,0,0,0,0,0,,0,100,0,8483711,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,76,73,79,73,72,74,73,72,74,73,61,65,49,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,50,Drew Commesso,https://www.nhl.com/player/8482123,0,USA,2002-07-19,23,180,74,2,False,False,False,False,False,True,True,False,False,False,0,3154799,3154799,3154799,0,0,0,0,0,0,0,0,,0,100,0,8482123,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,77,86,82,77,76,75,77,76,75,77,76,63,69,73,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,51,Dustin Tokarski,https://www.nhl.com/player/8474682,5,CAN,1989-09-16,36,198,72,4,False,False,False,False,False,True,True,False,False,False,0,4048450,4048450,4048450,4048450,4048450,0,0,0,0,0,0,,0,100,0,8474682,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,74,81,75,74,73,72,74,73,72,74,73,76,90,42,45,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
53,52,Dustin Wolf,https://www.nhl.com/player/8481692,4,USA,2001-04-16,24,166,72,2,False,False,False,False,False,True,True,False,False,False,0,2457270,2457270,2457270,0,0,0,0,0,0,0,0,,0,99,0,8481692,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,89,92,88,70,88,87,90,88,87,89,88,64,71,58,48,82,5,14786,3,2,0,1,14,125,56,0,0,0,0,5,0,0,1,0,0,975,1015,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,53,Dylan Ferguson,https://www.nhl.com/player/8480263,0,CAN,1998-09-20,27,194,74,4,False,False,False,False,False,True,True,False,False,False,0,2065828,2065828,2065828,2065828,2065828,0,0,0,0,0,0,,0,100,0,8480263,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,65,73,69,79,64,63,65,64,63,65,64,67,77,42,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,54,Dylan Garand,https://www.nhl.com/player/8482193,0,CAN,2002-06-07,23,173,72,2,False,False,False,False,False,True,True,False,False,False,0,2432500,2432500,2432500,0,0,0,0,0,0,0,0,,0,100,0,8482193,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,76,86,82,70,75,74,76,75,74,76,75,63,69,61,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,55,Dylan Wells,https://www.nhl.com/player/8479380,0,CAN,1998-01-03,27,190,74,2,False,False,False,False,False,True,True,False,False,False,0,2660721,2660721,2660721,0,0,0,0,0,0,0,0,,0,100,0,8479380,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,69,76,72,78,68,67,69,68,67,69,68,68,77,50,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,56,Eetu Makiniemi,https://www.nhl.com/player/8480199,0,FIN,1999-04-19,26,184,74,4,False,False,False,False,False,True,True,False,False,False,0,1583514,1583514,1583514,1583514,1583514,0,0,0,0,0,0,,0,100,0,8480199,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,69,75,71,77,68,67,69,68,67,69,68,66,75,59,40,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,57,Elvis Merzlikins,https://www.nhl.com/player/8478007,8,LVA,1994-04-13,31,190,75,3,False,False,False,False,False,True,True,False,False,False,0,6915383,6915383,6915383,6915383,0,0,0,0,0,0,0,,0,99,0,8478007,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,90,89,84,81,89,88,90,89,88,90,89,76,85,51,46,84,3,10800,2,1,0,0,8,91,43,0,0,0,0,3,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,58,Eric Comrie,https://www.nhl.com/player/8477480,32,CAN,1995-07-06,30,190,73,2,False,False,False,False,False,True,True,False,False,False,0,5442349,5442349,5442349,0,0,0,0,0,0,0,0,,0,100,0,8477480,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,81,77,73,75,80,79,81,80,79,81,80,70,84,55,40,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,59,Erik Portillo,https://www.nhl.com/player/8481707,13,SWE,2000-09-03,25,218,78,4,False,False,False,False,False,True,True,False,False,False,0,2971821,2971821,2971821,2971821,2971821,0,0,0,0,0,0,,0,100,0,8481707,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,77,83,79,96,76,75,77,76,75,77,76,65,73,64,50,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11100,2,0,1,0,5,66,38,0,1,5,1,3,0,0,0,0,0,180,380,380,
61,60,Felix Sandstrom,https://www.nhl.com/player/8478433,21,SWE,1997-01-12,28,211,74,2,False,False,False,False,False,True,True,False,False,False,0,800000,800000,800000,0,0,0,0,0,0,0,0,,0,100,0,8478433,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,80,75,83,73,72,74,73,72,74,73,68,81,55,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,61,Filip Gustavsson,https://www.nhl.com/player/8479406,14,SWE,1998-06-07,27,184,74,2,False,False,False,False,False,True,True,False,False,False,0,3829350,3829350,3829350,0,0,0,0,0,0,0,0,,0,99,0,8479406,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,94,91,87,77,93,92,94,93,92,94,93,70,77,60,43,86,4,12382,2,2,0,0,14,116,60,0,0,0,0,4,0,0,0,0,0,0,560,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,62,Filip Larsson,https://www.nhl.com/player/8479548,0,SWE,1998-08-17,27,194,74,3,False,False,False,False,False,True,True,False,False,False,0,3171225,3171225,3171225,3171225,0,0,0,0,0,0,0,,0,100,0,8479548,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,76,72,79,73,72,74,73,72,74,73,67,77,42,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,63,Frederik Andersen,https://www.nhl.com/player/8475883,5,DNK,1989-10-02,36,229,76,3,False,False,False,False,False,True,True,False,False,False,0,5249550,5249550,5249550,5249550,0,0,0,0,0,0,0,,0,100,0,8475883,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,89,78,72,92,88,87,89,88,87,89,88,85,90,49,44,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,64,Gabriel Carriere,https://www.nhl.com/player/8484887,0,CAN,2000-11-05,24,188,74,3,False,False,False,False,False,True,True,False,False,False,0,3018767,3018767,3018767,3018767,0,0,0,0,0,0,0,,0,100,0,8484887,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,70,75,71,78,69,68,70,69,68,70,69,65,73,42,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,65,Garin Bjorklund,https://www.nhl.com/player/8482188,0,CAN,2002-05-28,23,174,74,3,False,False,False,False,False,True,True,False,False,False,0,3428169,3428169,3428169,3428169,0,0,0,0,0,0,0,,0,100,0,8482188,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,77,70,66,75,76,75,77,76,75,77,76,63,69,49,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,66,Georgi Romanov,https://www.nhl.com/player/8484312,0,RUS,1999-12-15,25,207,77,1,False,False,False,False,False,True,True,False,False,False,0,2561157,2561157,0,0,0,0,0,0,0,0,0,,0,100,0,8484312,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,75,82,78,91,74,73,75,74,73,75,74,66,75,55,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,67,Henrik Tikkanen,https://www.nhl.com/player/8482472,0,FIN,2000-09-28,25,222,80,5,False,False,False,False,False,True,True,False,False,False,0,3076135,3076135,3076135,3076135,3076135,3076135,0,0,0,0,0,,0,100,0,8482472,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,70,80,76,98,69,68,70,69,68,70,69,65,73,47,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,68,Hunter Miska,https://www.nhl.com/player/8480112,0,USA,1995-07-07,30,175,73,2,False,False,False,False,False,True,True,False,False,False,0,2190346,2190346,2190346,0,0,0,0,0,0,0,0,,0,100,0,8480112,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,62,73,68,72,61,60,62,61,60,62,61,70,84,35,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,69,Hunter Shepard,https://www.nhl.com/player/8482411,0,USA,1995-11-07,29,215,72,2,False,False,False,False,False,True,True,False,False,False,0,3478643,3478643,3478643,0,0,0,0,0,0,0,0,,0,100,0,8482411,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,77,86,81,77,76,75,77,76,75,77,76,70,84,50,40,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,70,Igor Shesterkin,https://www.nhl.com/player/8478048,19,RUS,1995-12-30,29,195,73,3,False,False,False,False,False,True,True,False,False,False,0,5311023,5311023,5311023,5311023,0,0,0,0,0,0,0,,0,98,0,8478048,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,95,94,89,76,94,93,95,94,93,95,94,75,84,55,40,87,5,16855,2,3,0,0,25,168,88,0,1,0,0,5,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,71,Ilya Samsonov,https://www.nhl.com/player/8478492,30,RUS,1997-02-22,28,208,75,1,False,False,False,False,False,True,True,False,False,False,0,4747157,4747157,0,0,0,0,0,0,0,0,0,,0,100,0,8478492,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,90,84,79,85,89,88,90,89,88,90,89,71,81,68,43,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,72,Ilya Sorokin,https://www.nhl.com/player/8478009,18,RUS,1995-08-04,30,211,76,2,False,False,False,False,False,True,True,False,False,False,0,5102656,5102656,5102656,0,0,0,0,0,0,0,0,,0,100,0,8478009,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,94,93,88,89,93,92,94,93,92,94,93,75,84,51,46,88,3,10761,2,1,0,0,7,81,44,2,0,0,0,3,0,0,0,0,0,0,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,73,Isaac Poulter,https://www.nhl.com/player/8483659,0,CAN,2001-09-12,24,174,74,4,False,False,False,False,False,True,True,False,False,False,0,1728238,1728238,1728238,1728238,1728238,0,0,0,0,0,0,,0,100,0,8483659,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,75,83,79,75,74,73,75,74,73,75,74,64,71,43,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,74,Ivan Fedotov,https://www.nhl.com/player/8478905,21,RUS,1996-11-28,28,214,79,1,False,False,False,False,False,True,True,False,False,False,0,2890767,2890767,0,0,0,0,0,0,0,0,0,,0,100,0,8478905,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,76,77,71,98,75,74,75,75,74,76,75,68,83,56,38,75,1,1617,0,0,0,0,3,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,75,Jack Campbell,https://www.nhl.com/player/8475789,0,USA,1992-01-09,33,200,75,4,False,False,False,False,False,True,True,False,False,False,0,4818084,4818084,4818084,4818084,4818084,0,0,0,0,0,0,,0,100,0,8475789,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,81,76,83,73,72,74,73,72,74,73,75,87,52,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,76,Jack LaFontaine,https://www.nhl.com/player/8479581,0,CAN,1998-01-06,27,204,74,3,False,False,False,False,False,True,True,False,False,False,0,1889530,1889530,1889530,1889530,0,0,0,0,0,0,0,,0,100,0,8479581,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,70,71,67,81,69,68,70,69,68,70,69,67,77,56,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,77,Jacob Fowler,https://www.nhl.com/player/8484170,0,USA,2004-11-24,20,223,73,2,False,False,False,False,False,True,True,False,False,False,0,1848646,1848646,1848646,0,0,0,0,0,0,0,0,,0,100,0,8484170,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,71,72,68,82,70,69,71,70,69,71,70,61,65,67,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,78,Jacob Ingham,https://www.nhl.com/player/8480857,0,CAN,2000-06-10,25,186,76,4,False,False,False,False,False,True,True,False,False,False,0,1940050,1940050,1940050,1940050,1940050,0,0,0,0,0,0,,0,100,0,8480857,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,66,73,69,84,65,64,66,65,64,66,65,65,73,47,40,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,79,Jacob Markstrom,https://www.nhl.com/player/8474593,17,SWE,1990-01-31,35,207,78,3,False,False,False,False,False,True,True,False,False,False,0,4852678,4852678,4852678,4852678,0,0,0,0,0,0,0,,0,100,0,8474593,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,93,90,84,94,92,91,93,92,91,93,92,86,89,50,41,88,3,8567,1,2,0,0,9,71,34,0,0,0,0,3,0,0,0,0,0,0,460,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,80,Jake Allen,https://www.nhl.com/player/8474596,17,CAN,1990-08-07,35,197,74,2,False,False,False,False,False,True,True,False,False,False,0,4619824,4619824,4619824,0,0,0,0,0,0,0,0,,0,100,0,8474596,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,89,83,77,80,88,87,89,88,87,89,88,84,89,50,40,84,1,2198,0,0,0,0,3,17,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,81,Jake Oettinger,https://www.nhl.com/player/8479979,9,USA,1998-12-18,26,224,78,1,False,False,False,False,False,True,True,False,False,False,0,3499183,3499183,0,0,0,0,0,0,0,0,0,,0,100,0,8479979,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,95,93,89,97,94,93,95,94,93,95,94,72,77,68,50,89,3,10812,3,0,0,0,9,102,49,0,1,0,0,3,0,0,0,0,0,260,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,82,Jakub Dobes,https://www.nhl.com/player/8482487,15,CZE,2001-05-27,24,215,76,3,False,False,False,False,False,True,True,False,False,False,0,2998957,2998957,2998957,2998957,0,0,0,0,0,0,0,,0,100,0,8482487,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,78,87,83,89,77,76,78,77,76,78,77,64,71,55,39,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13746,1,3,0,0,12,82,52,0,0,0,0,4,0,0,0,0,0,0,280,280,
84,83,Jakub Skarek,https://www.nhl.com/player/8480819,0,CZE,1999-11-10,25,211,76,4,False,False,False,False,False,True,True,False,False,False,0,3480835,3480835,3480835,3480835,3480835,0,0,0,0,0,0,,0,100,0,8480819,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,82,78,89,73,72,74,73,72,74,73,66,75,62,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,84,James Reimer,https://www.nhl.com/player/8473503,3,CAN,1988-03-15,37,200,74,2,False,False,False,False,False,True,True,False,False,False,0,6300632,6300632,6300632,0,0,0,0,0,0,0,0,,0,100,0,8473503,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,86,80,74,80,85,84,86,85,84,86,85,87,91,48,44,82,1,1706,0,0,0,0,3,14,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,85,Jan Bednar,https://www.nhl.com/player/8482135,0,CZE,2002-08-26,23,200,76,2,False,False,False,False,False,True,True,False,False,False,0,1970961,1970961,1970961,0,0,0,0,0,0,0,0,,0,100,0,8482135,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,68,71,67,86,67,66,68,67,66,68,67,63,69,60,40,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,86,Jaxson Stauber,https://www.nhl.com/player/8483530,28,USA,1999-04-27,26,174,75,1,False,False,False,False,False,True,True,False,False,False,0,3530247,3530247,0,0,0,0,0,0,0,0,0,,0,100,0,8483530,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,75,82,78,78,74,73,75,74,73,75,74,66,75,55,43,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
88,87,Jeremy Brodeur,https://www.nhl.com/player/8479609,0,USA,1996-10-29,28,185,72,3,False,False,False,False,False,True,True,False,False,False,0,3487429,3487429,3487429,3487429,0,0,0,0,0,0,0,,0,100,0,8479609,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,71,72,67,71,70,69,71,70,69,71,70,69,83,36,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,88,Jeremy Swayman,https://www.nhl.com/player/8480280,2,USA,1998-11-24,26,195,75,4,False,False,False,False,False,True,True,False,False,False,0,2799105,2799105,2799105,2799105,2799105,0,0,0,0,0,0,,0,100,0,8480280,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,92,91,87,82,91,90,92,91,90,92,91,70,77,51,40,85,4,12898,1,3,0,0,17,123,61,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,89,Jesper Vikman,https://www.nhl.com/player/8482484,0,SWE,2002-03-11,23,179,75,4,False,False,False,False,False,True,True,False,False,False,0,2215358,2215358,2215358,2215358,2215358,0,0,0,0,0,0,,0,100,0,8482484,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,66,75,71,79,65,64,66,65,64,66,65,63,69,58,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,90,Jesper Wallstedt,https://www.nhl.com/player/8482661,0,SWE,2002-11-14,22,214,75,3,False,False,False,False,False,True,True,False,False,False,0,1936519,1936519,1936519,1936519,0,0,0,0,0,0,0,,0,100,0,8482661,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,86,82,86,73,72,74,73,72,74,73,63,69,81,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,91,Jet Greaves,https://www.nhl.com/player/8482982,8,CAN,2001-03-30,24,190,72,4,False,False,False,False,False,True,True,False,False,False,0,2587285,2587285,2587285,2587285,2587285,0,0,0,0,0,0,,0,100,0,8482982,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,82,91,87,72,81,81,82,82,81,82,81,64,71,57,51,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14382,3,1,0,1,4,67,36,0,0,0,0,4,0,0,1,0,1,620,820,820,
93,92,Jiri Patera,https://www.nhl.com/player/8480238,0,CZE,1999-02-24,26,212,75,5,False,False,False,False,False,True,True,False,False,False,0,1829601,1829601,1829601,1829601,1829601,1829601,0,0,0,0,0,,0,100,0,8480238,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,78,74,86,73,72,74,73,72,74,73,66,75,56,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,93,Joel Blomqvist,https://www.nhl.com/player/8482446,22,FIN,2002-01-10,23,200,75,5,False,False,False,False,False,True,True,False,False,False,0,3230595,3230595,3230595,3230595,3230595,3230595,0,0,0,0,0,,0,100,0,8482446,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,77,86,82,83,76,75,77,77,75,77,76,63,69,71,49,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14204,3,0,0,1,9,68,41,0,0,0,0,4,0,0,1,0,0,445,485,485,
95,94,Joel Hofer,https://www.nhl.com/player/8480981,25,CAN,2000-07-30,25,179,77,3,False,False,False,False,False,True,True,False,False,False,0,2818980,2818980,2818980,2818980,0,0,0,0,0,0,0,,0,100,0,8480981,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,92,83,79,85,91,90,92,91,90,92,91,65,73,58,39,84,1,2406,0,0,0,0,3,14,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,95,Joey Daccord,https://www.nhl.com/player/8478916,24,USA,1996-08-19,29,201,74,4,False,False,False,False,False,True,True,False,False,False,0,5618639,5618639,5618639,5618639,5618639,0,0,0,0,0,0,,0,100,0,8478916,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,94,92,87,81,93,92,95,93,92,94,93,71,83,56,42,87,3,9233,1,1,0,0,8,79,38,0,0,0,0,3,0,0,0,1,0,0,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,96,John Gibson,https://www.nhl.com/player/8476434,1,USA,1993-07-14,32,214,74,5,False,False,False,False,False,True,True,False,False,False,0,4861373,4861373,4861373,4861373,4861373,4861373,0,0,0,0,0,,0,100,0,8476434,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,88,85,80,83,87,86,88,87,86,88,87,83,86,53,40,83,1,1486,0,1,0,0,3,14,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
