Number,Transaction,DateTime,Empty
625,Nathan Bastian was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
626,Beck Malenstyn was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
627,Tyler Kleven was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
628,Lian Bichsel was added to Dallas Stars.,2025-08-15 2:37:08 PM,
629,Cam Atkinson was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
630,Tyson Jost was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
631,Tyler Motte was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
632,Seamus Casey was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
633,Brock McGinn was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
634,Miles Wood was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
635,Wyatt Kaiser was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
636,Anthony Mantha was added to Calgary Flames.,2025-08-15 2:37:08 PM,
637,Ethen Frank was added to Washington Capitals.,2025-08-15 2:37:08 PM,
638,Mikael Pyyhtia was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
639,Samuel Helenius was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
640,Noah Gregor was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
641,Sam Lafferty was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
642,Luke Glendening was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
643,Nikita Nesterenko was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
644,Jonah Gadjovich was added to Florida Panthers.,2025-08-15 2:37:08 PM,
645,Aaron Ekblad was added to Florida Panthers.,2025-08-15 2:37:08 PM,
646,Alexandre Carrier was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
647,Matt Roy was added to Washington Capitals.,2025-08-15 2:37:08 PM,
648,Samuel Girard was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
649,Brian Dumoulin was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
650,Nick Jensen was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
651,Erik Cernak was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
652,Kevin Bahl was added to Calgary Flames.,2025-08-15 2:37:08 PM,
653,Nick Seeler was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
654,Dylan DeMelo was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
655,Chris Tanev was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
656,Brett Pesce was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
657,Egor Zamula was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
658,Conor Timmins was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
659,Ryan Lomberg was added to Calgary Flames.,2025-08-15 2:37:08 PM,
660,Brayden Pachal was added to Calgary Flames.,2025-08-15 2:37:08 PM,
661,John Beecher was added to Boston Bruins.,2025-08-15 2:37:08 PM,
662,Dennis Cholowski was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
663,Henri Jokiharju was added to Boston Bruins.,2025-08-15 2:37:08 PM,
664,Jan Rutta was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
665,Carl Grundstrom was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
666,Albert Johansson was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
667,Scott Mayfield was added to New York Islanders.,2025-08-15 2:37:08 PM,
668,Erik Brannstrom was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
669,Jordan Greenway was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
670,Matt Rempe was added to New York Rangers.,2025-08-15 2:37:08 PM,
671,Hampus Lindholm was added to Boston Bruins.,2025-08-15 2:37:08 PM,
672,Max Sasson was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
673,Tyler Tucker was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
674,Troy Stecher was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
675,Jani Nyman was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
676,Linus Karlsson was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
677,Oliver Wahlstrom was added to Boston Bruins.,2025-08-15 2:37:08 PM,
678,Fraser Minten was added to Boston Bruins.,2025-08-15 2:37:08 PM,
679,Tyson Kozak was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
680,Vinni Lettieri was added to Boston Bruins.,2025-08-15 2:37:08 PM,
681,Arthur Kaliyev was added to New York Rangers.,2025-08-15 2:37:08 PM,
682,Louis Crevier was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
683,Austin Watson was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
684,Jake McCabe was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
685,Connor Murphy was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
686,Erik Gustafsson was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
687,Mattias Janmark was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
688,Urho Vaakanainen was added to New York Rangers.,2025-08-15 2:37:08 PM,
689,Brenden Dillon was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
690,Ryan Suter was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
691,J.J. Moser was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
692,Artem Zub was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
693,Jayden Struble was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
694,Ty Emberson was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
695,Kevin Labanc was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
696,Henry Thrun was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
697,Declan Chisholm was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
698,Derek Forbort was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
699,TJ Brodie was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
700,Shakir Mukhamadullin was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
701,Scott Perunovich was added to New York Islanders.,2025-08-15 2:37:08 PM,
702,Daniil Miromanov was added to Calgary Flames.,2025-08-15 2:37:08 PM,
703,Marc Del Gaizo was added to Nashville Predators.,2025-08-15 2:37:08 PM,
704,Joel Hanley was added to Calgary Flames.,2025-08-15 2:37:08 PM,
705,Jonas Siegenthaler was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
706,Luca Del Bel Belluz was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
707,Justin Kirkland was added to Calgary Flames.,2025-08-15 2:37:08 PM,
708,Victor Mancini was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
709,Jacob Bernard-Docker was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
710,Justin Holl was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
711,Colton Dach was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
712,Daniel Sprong was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
713,Vladislav Kolyachonok was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
714,Justin Dowling was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
715,Jake Bean was added to Calgary Flames.,2025-08-15 2:37:08 PM,
716,Anthony Richard was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
717,Ethan Del Mastro was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
718,Landon Slaggert was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
719,David Gustafsson was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
720,Matthew Highmore was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
721,Jansen Harkins was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
722,Jon Merrill was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
723,Zemgus Girgensons was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
724,Rodrigo Abols was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
725,Liam Ohgren was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
726,Nick Leddy was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
727,Erik Johnson was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
728,Philippe Myers was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
729,Ryan Shea was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
730,Curtis Lazar was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
731,Logan Mailloux was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
732,Kieffer Bellows was added to Nashville Predators.,2025-08-15 2:37:08 PM,
733,Simon Nemec was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
734,Hudson Fasching was added to New York Islanders.,2025-08-15 2:37:08 PM,
735,Nikita Chibrikov was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
736,Cam Lund was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
737,Kailer Yamamoto was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
738,Valtteri Puustinen was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
739,Marc McLaughlin was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
740,Zack MacEwen was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
741,Walker Duehr was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
742,Nicolas Deslauriers was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
743,Joshua Roy was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
744,Matt Grzelcyk was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
745,Trevor van Riemsdyk was added to Washington Capitals.,2025-08-15 2:37:08 PM,
746,Emil Lilleberg was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
747,Andrew Peeke was added to Boston Bruins.,2025-08-15 2:37:08 PM,
748,Johnathan Kovacevic was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
749,Ian Cole was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
750,Connor Clifton was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
751,Radko Gudas was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
752,Josh Manson was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
753,David Savard was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
754,John Marino was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
755,Logan Stanley was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
756,Jacob Trouba was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
757,Ilya Lyubushkin was added to Dallas Stars.,2025-08-15 2:37:08 PM,
758,Brandon Carlo was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
759,Matthew Poitras was added to Boston Bruins.,2025-08-15 2:37:08 PM,
760,Zac Jones was added to New York Rangers.,2025-08-15 2:37:08 PM,
761,Mathew Dumba was added to Dallas Stars.,2025-08-15 2:37:08 PM,
762,Simon Benoit was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
763,Tomas Nosek was added to Florida Panthers.,2025-08-15 2:37:08 PM,
764,Cole Schwindt was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
765,Nolan Allan was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
766,Jeff Petry was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
767,Jacob Moverare was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
768,Jake Christiansen was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
769,Ty Dellandrea was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
770,Calle Jarnkrok was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
771,Klim Kostin was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
772,Emil Andrae was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
773,Christian Fischer was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
774,Parker Wotherspoon was added to Boston Bruins.,2025-08-15 2:37:08 PM,
775,Travis Hamonic was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
776,Luke Schenn was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
777,Scott Morrow was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
778,Nils Aman was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
779,Phillip Di Giuseppe was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
780,Nick DeSimone was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
781,Brendan Smith was added to Dallas Stars.,2025-08-15 2:37:08 PM,
782,Derek Ryan was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
783,Arber Xhekaj was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
784,Oliver Kylington was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
785,Adam Wilsby was added to Nashville Predators.,2025-08-15 2:37:08 PM,
786,Jordan Harris was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
787,Isaiah George was added to New York Islanders.,2025-08-15 2:37:08 PM,
788,Devin Shore was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
789,John Klingberg was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
790,Lucas Carlsson was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
791,Ivan Miroshnichenko was added to Washington Capitals.,2025-08-15 2:37:08 PM,
792,Nikolas Matinpalo was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
793,Ross Johnston was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
794,Zack Ostapchuk was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
795,Ryan Graves was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
796,Rutger McGroarty was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
797,David Jiricek was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
798,Fabian Lysell was added to Boston Bruins.,2025-08-15 2:37:08 PM,
799,Tyson Barrie was added to Calgary Flames.,2025-08-15 2:37:08 PM,
800,Maveric Lamoureux was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
801,Andre Lee was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
802,Akil Thomas was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
803,Owen Pickering was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
804,Marc-Edouard Vlasic was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
805,Mitchell Stephens was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
806,Elias Pettersson was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
807,Matt Nieto was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
808,Andreas Englund was added to Nashville Predators.,2025-08-15 2:37:08 PM,
809,Justin Robidas was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
810,Michael Sgarbossa was added to Washington Capitals.,2025-08-15 2:37:08 PM,
811,Alex Steeves was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
812,Ty Smith was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
813,Kevin Korchinski was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
814,Cole Reinhardt was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
815,John Hayden was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
816,Nicolas Aube-Kubel was added to New York Rangers.,2025-08-15 2:37:08 PM,
817,Max Jones was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
818,Justin Sourdif was added to Florida Panthers.,2025-08-15 2:37:08 PM,
819,John Farinacci was added to Boston Bruins.,2025-08-15 2:37:08 PM,
820,Sam Morton was added to Calgary Flames.,2025-08-15 2:37:08 PM,
821,Taylor Ward was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
822,Dylan Duke was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
823,Wyatt Aamodt was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
824,Skyler Brind'Amour was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
825,Isaak Phillips was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
826,Declan Carlile was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
827,Parker Ford was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
828,Ethan Cardwell was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
829,Clark Bishop was added to Calgary Flames.,2025-08-15 2:37:08 PM,
830,Lucas Condotta was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
831,Callahan Burke was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
832,Andreas Athanasiou was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
833,Tanner Laczynski was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
834,Joona Koppanen was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
835,Arshdeep Bains was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
836,Bokondji Imama was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
837,Patrick Giles was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
838,Michael Callahan was added to Boston Bruins.,2025-08-15 2:37:08 PM,
839,Chris Wagner was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
840,Connor Hellebuyck was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
841,Andrei Vasilevskiy was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
842,Jake Oettinger was added to Dallas Stars.,2025-08-15 2:37:08 PM,
843,Sergei Bobrovsky was added to Florida Panthers.,2025-08-15 2:37:08 PM,
844,Adin Hill was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
845,Sam Montembeault was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
846,Darcy Kuemper was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
847,Filip Gustavsson was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
848,Logan Thompson was added to Washington Capitals.,2025-08-15 2:37:08 PM,
849,Ilya Sorokin was added to New York Islanders.,2025-08-15 2:37:08 PM,
850,Dustin Wolf was added to Calgary Flames.,2025-08-15 2:37:08 PM,
851,Mackenzie Blackwood was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
852,Jordan Binnington was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
853,Igor Shesterkin was added to New York Rangers.,2025-08-15 2:37:08 PM,
854,Joey Daccord was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
855,Pyotr Kochetkov was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
856,Joseph Woll was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
857,Karel Vejmelka was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
858,Jacob Markstrom was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
859,Elvis Merzlikins was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
860,Stuart Skinner was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
861,Kevin Lankinen was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
862,Linus Ullmark was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
863,Ukko-Pekka Luukkonen was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
864,Lukas Dostal was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
865,Jeremy Swayman was added to Boston Bruins.,2025-08-15 2:37:08 PM,
866,Samuel Ersson was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
867,Calvin Pickard was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
868,Cam Talbot was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
869,Anthony Stolarz was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
870,Juuse Saros was added to Nashville Predators.,2025-08-15 2:37:08 PM,
871,Charlie Lindgren was added to Washington Capitals.,2025-08-15 2:37:08 PM,
872,Spencer Knight was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
873,Tristan Jarry was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
874,Ilya Samsonov was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
875,Joel Hofer was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
876,David Rittich was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
877,Alexandar Georgiev was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
878,Justus Annunen was added to Nashville Predators.,2025-08-15 2:37:08 PM,
879,Alex Nedeljkovic was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
880,Casey DeSmith was added to Dallas Stars.,2025-08-15 2:37:08 PM,
881,Scott Wedgewood was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
882,Alex Lyon was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
883,Marc-Andre Fleury was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
884,Jake Allen was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
885,Frederik Andersen was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
886,Dan Vladar was added to Calgary Flames.,2025-08-15 2:37:08 PM,
887,Petr Mrazek was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
888,Anton Forsberg was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
889,Joonas Korpisalo was added to Boston Bruins.,2025-08-15 2:37:08 PM,
890,John Gibson was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
891,Jonathan Quick was added to New York Rangers.,2025-08-15 2:37:08 PM,
892,Arvid Soderblom was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
893,Thatcher Demko was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
894,James Reimer was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
895,Connor Ingram was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
896,Jonas Johansson was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
897,Eric Comrie was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
898,Philipp Grubauer was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
899,Jakub Dobes was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
900,Daniil Tarasov was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
901,Jet Greaves was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
902,Ivan Fedotov was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
903,Vitek Vanecek was added to Florida Panthers.,2025-08-15 2:37:08 PM,
904,Aleksei Kolosov was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
905,Yaroslav Askarov was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
906,Joel Blomqvist was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
907,Dustin Tokarski was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
908,Semyon Varlamov was added to New York Islanders.,2025-08-15 2:37:08 PM,
909,Spencer Martin was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
910,Dennis Hildeby was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
911,Nico Daws was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
912,Marcus Hogberg was added to New York Islanders.,2025-08-15 2:37:08 PM,
913,Ville Husso was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
914,Cayden Primeau was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
915,Arturs Silovs was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
916,Jaxson Stauber was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
917,Akira Schmid was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
918,Devon Levi was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
919,Mads Sogaard was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
920,Matt Murray was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
921,Nikita Tolopilo was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
922,Erik Portillo was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
923,Sebastian Cossa was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
924,Louis Domingue was added to New York Rangers.,2025-08-15 2:37:08 PM,
925,Matt Villalta was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
926,Columbus Blue Jackets roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.
,2025-08-15 4:59:03 PM,
927,Cleveland Monsters roster errors : Not enough Centers available in Farm Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Forward available in Farm Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Farm Team! 0 Dressed. 6 Required.
Not enough Goalie available in Farm Team! 0 Dressed. 2 Required.
Not enough Players available in Farm Team! 0 Dressed. 18 Required.
Maximum Players Limit Reached in Farm Team!
Not enough Players available in Pro Team! 0 Dressed. 20 Required.
Some errors will be automatically fixed.
,2025-08-15 4:59:03 PM,
928,Random Salary Function has been run.,2025-08-15 4:59:51 PM,
929,Random Contract Length Function has been run.,2025-08-15 4:59:51 PM,
930,Toronto Maple Leafs roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.
,2025-08-15 5:00:19 PM,
931,Toronto Marlies roster errors : Not enough Centers available in Farm Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Forward available in Farm Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Farm Team! 0 Dressed. 6 Required.
Not enough Goalie available in Farm Team! 0 Dressed. 2 Required.
Not enough Players available in Farm Team! 0 Dressed. 18 Required.
Maximum Players Limit Reached in Farm Team!
Not enough Players available in Pro Team! 0 Dressed. 20 Required.
Some errors will be automatically fixed.
,2025-08-15 5:00:19 PM,
932,Alex Steeves of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:25 PM,
933,Anthony Stolarz of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
934,Auston Matthews of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
935,Bobby McMann of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
936,Brandon Carlo of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
937,Calle Jarnkrok of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
938,Chris Tanev of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
939,David Kampf of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
940,Dennis Hildeby of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
941,Jake McCabe of Toronto Maple Leafs was sent to pro.,2025-08-15 5:00:33 PM,
