Number,Transaction
771,[2025-08-15 2:37:08 PM] - Klim Kostin was added to San Jose Sharks.
772,[2025-08-15 2:37:08 PM] - Emil Andrae was added to Philadelphia Flyers.
773,[2025-08-15 2:37:08 PM] - Christian Fischer was added to Columbus Blue Jackets.
774,[2025-08-15 2:37:08 PM] - Parker Wotherspoon was added to Boston Bruins.
775,[2025-08-15 2:37:08 PM] - Travis Hamonic was added to Ottawa Senators.
776,[2025-08-15 2:37:08 PM] - Luke Schenn was added to Winnipeg Jets.
777,[2025-08-15 2:37:08 PM] - Scott Morrow was added to Carolina Hurricanes.
778,[2025-08-15 2:37:08 PM] - Nils Aman was added to Vancouver Canucks.
779,[2025-08-15 2:37:08 PM] - Phillip Di Giuseppe was added to Vancouver Canucks.
780,[2025-08-15 2:37:08 PM] - Nick DeSimone was added to Utah Mammoth.
781,[2025-08-15 2:37:08 PM] - Brendan Smith was added to Dallas Stars.
782,[2025-08-15 2:37:08 PM] - Derek Ryan was added to Edmonton Oilers.
783,[2025-08-15 2:37:08 PM] - Arber Xhekaj was added to Montreal Canadiens.
784,[2025-08-15 2:37:08 PM] - Oliver Kylington was added to Anaheim Ducks.
785,[2025-08-15 2:37:08 PM] - Adam Wilsby was added to Nashville Predators.
786,[2025-08-15 2:37:08 PM] - Jordan Harris was added to Columbus Blue Jackets.
787,[2025-08-15 2:37:08 PM] - Isaiah George was added to New York Islanders.
788,[2025-08-15 2:37:08 PM] - Devin Shore was added to Minnesota Wild.
789,[2025-08-15 2:37:08 PM] - John Klingberg was added to Edmonton Oilers.
790,[2025-08-15 2:37:08 PM] - Lucas Carlsson was added to San Jose Sharks.
791,[2025-08-15 2:37:08 PM] - Ivan Miroshnichenko was added to Washington Capitals.
792,[2025-08-15 2:37:08 PM] - Nikolas Matinpalo was added to Ottawa Senators.
793,[2025-08-15 2:37:08 PM] - Ross Johnston was added to Anaheim Ducks.
794,[2025-08-15 2:37:08 PM] - Zack Ostapchuk was added to San Jose Sharks.
795,[2025-08-15 2:37:08 PM] - Ryan Graves was added to Pittsburgh Penguins.
796,[2025-08-15 2:37:08 PM] - Rutger McGroarty was added to Pittsburgh Penguins.
797,[2025-08-15 2:37:08 PM] - David Jiricek was added to Minnesota Wild.
798,[2025-08-15 2:37:08 PM] - Fabian Lysell was added to Boston Bruins.
799,[2025-08-15 2:37:08 PM] - Tyson Barrie was added to Calgary Flames.
800,[2025-08-15 2:37:08 PM] - Maveric Lamoureux was added to Utah Mammoth.
801,[2025-08-15 2:37:08 PM] - Andre Lee was added to Los Angeles Kings.
802,[2025-08-15 2:37:08 PM] - Akil Thomas was added to Los Angeles Kings.
803,[2025-08-15 2:37:08 PM] - Owen Pickering was added to Pittsburgh Penguins.
804,[2025-08-15 2:37:08 PM] - Marc-Edouard Vlasic was added to San Jose Sharks.
805,[2025-08-15 2:37:08 PM] - Mitchell Stephens was added to Seattle Kraken.
806,[2025-08-15 2:37:08 PM] - Elias Pettersson was added to Vancouver Canucks.
807,[2025-08-15 2:37:08 PM] - Matt Nieto was added to Pittsburgh Penguins.
808,[2025-08-15 2:37:08 PM] - Andreas Englund was added to Nashville Predators.
809,[2025-08-15 2:37:08 PM] - Justin Robidas was added to Carolina Hurricanes.
810,[2025-08-15 2:37:08 PM] - Michael Sgarbossa was added to Washington Capitals.
811,[2025-08-15 2:37:08 PM] - Alex Steeves was added to Toronto Maple Leafs.
812,[2025-08-15 2:37:08 PM] - Ty Smith was added to Carolina Hurricanes.
813,[2025-08-15 2:37:08 PM] - Kevin Korchinski was added to Chicago Blackhawks.
814,[2025-08-15 2:37:08 PM] - Cole Reinhardt was added to Ottawa Senators.
815,[2025-08-15 2:37:08 PM] - John Hayden was added to Seattle Kraken.
816,[2025-08-15 2:37:08 PM] - Nicolas Aube-Kubel was added to New York Rangers.
817,[2025-08-15 2:37:08 PM] - Max Jones was added to Edmonton Oilers.
818,[2025-08-15 2:37:08 PM] - Justin Sourdif was added to Florida Panthers.
819,[2025-08-15 2:37:08 PM] - John Farinacci was added to Boston Bruins.
820,[2025-08-15 2:37:08 PM] - Sam Morton was added to Calgary Flames.
821,[2025-08-15 2:37:08 PM] - Taylor Ward was added to Los Angeles Kings.
822,[2025-08-15 2:37:08 PM] - Dylan Duke was added to Tampa Bay Lightning.
823,[2025-08-15 2:37:08 PM] - Wyatt Aamodt was added to Colorado Avalanche.
824,[2025-08-15 2:37:08 PM] - Skyler Brind'Amour was added to Carolina Hurricanes.
825,[2025-08-15 2:37:08 PM] - Isaak Phillips was added to Chicago Blackhawks.
826,[2025-08-15 2:37:08 PM] - Declan Carlile was added to Tampa Bay Lightning.
827,[2025-08-15 2:37:08 PM] - Parker Ford was added to Winnipeg Jets.
828,[2025-08-15 2:37:08 PM] - Ethan Cardwell was added to San Jose Sharks.
829,[2025-08-15 2:37:08 PM] - Clark Bishop was added to Calgary Flames.
830,[2025-08-15 2:37:08 PM] - Lucas Condotta was added to Montreal Canadiens.
831,[2025-08-15 2:37:08 PM] - Callahan Burke was added to Vegas Golden Knights.
832,[2025-08-15 2:37:08 PM] - Andreas Athanasiou was added to Chicago Blackhawks.
833,[2025-08-15 2:37:08 PM] - Tanner Laczynski was added to Vegas Golden Knights.
834,[2025-08-15 2:37:08 PM] - Joona Koppanen was added to Pittsburgh Penguins.
835,[2025-08-15 2:37:08 PM] - Arshdeep Bains was added to Vancouver Canucks.
836,[2025-08-15 2:37:08 PM] - Bokondji Imama was added to Pittsburgh Penguins.
837,[2025-08-15 2:37:08 PM] - Patrick Giles was added to San Jose Sharks.
838,[2025-08-15 2:37:08 PM] - Michael Callahan was added to Boston Bruins.
839,[2025-08-15 2:37:08 PM] - Chris Wagner was added to Colorado Avalanche.
840,[2025-08-15 2:37:08 PM] - Connor Hellebuyck was added to Winnipeg Jets.
841,[2025-08-15 2:37:08 PM] - Andrei Vasilevskiy was added to Tampa Bay Lightning.
842,[2025-08-15 2:37:08 PM] - Jake Oettinger was added to Dallas Stars.
843,[2025-08-15 2:37:08 PM] - Sergei Bobrovsky was added to Florida Panthers.
844,[2025-08-15 2:37:08 PM] - Adin Hill was added to Vegas Golden Knights.
845,[2025-08-15 2:37:08 PM] - Sam Montembeault was added to Montreal Canadiens.
846,[2025-08-15 2:37:08 PM] - Darcy Kuemper was added to Los Angeles Kings.
847,[2025-08-15 2:37:08 PM] - Filip Gustavsson was added to Minnesota Wild.
848,[2025-08-15 2:37:08 PM] - Logan Thompson was added to Washington Capitals.
849,[2025-08-15 2:37:08 PM] - Ilya Sorokin was added to New York Islanders.
850,[2025-08-15 2:37:08 PM] - Dustin Wolf was added to Calgary Flames.
851,[2025-08-15 2:37:08 PM] - Mackenzie Blackwood was added to Colorado Avalanche.
852,[2025-08-15 2:37:08 PM] - Jordan Binnington was added to St. Louis Blues.
853,[2025-08-15 2:37:08 PM] - Igor Shesterkin was added to New York Rangers.
854,[2025-08-15 2:37:08 PM] - Joey Daccord was added to Seattle Kraken.
855,[2025-08-15 2:37:08 PM] - Pyotr Kochetkov was added to Carolina Hurricanes.
856,[2025-08-15 2:37:08 PM] - Joseph Woll was added to Toronto Maple Leafs.
857,[2025-08-15 2:37:08 PM] - Karel Vejmelka was added to Utah Mammoth.
858,[2025-08-15 2:37:08 PM] - Jacob Markstrom was added to New Jersey Devils.
859,[2025-08-15 2:37:08 PM] - Elvis Merzlikins was added to Columbus Blue Jackets.
860,[2025-08-15 2:37:08 PM] - Stuart Skinner was added to Edmonton Oilers.
861,[2025-08-15 2:37:08 PM] - Kevin Lankinen was added to Vancouver Canucks.
862,[2025-08-15 2:37:08 PM] - Linus Ullmark was added to Ottawa Senators.
863,[2025-08-15 2:37:08 PM] - Ukko-Pekka Luukkonen was added to Buffalo Sabres.
864,[2025-08-15 2:37:08 PM] - Lukas Dostal was added to Anaheim Ducks.
865,[2025-08-15 2:37:08 PM] - Jeremy Swayman was added to Boston Bruins.
866,[2025-08-15 2:37:08 PM] - Samuel Ersson was added to Philadelphia Flyers.
867,[2025-08-15 2:37:08 PM] - Calvin Pickard was added to Edmonton Oilers.
868,[2025-08-15 2:37:08 PM] - Cam Talbot was added to Detroit Red Wings.
869,[2025-08-15 2:37:08 PM] - Anthony Stolarz was added to Toronto Maple Leafs.
870,[2025-08-15 2:37:08 PM] - Juuse Saros was added to Nashville Predators.
871,[2025-08-15 2:37:08 PM] - Charlie Lindgren was added to Washington Capitals.
872,[2025-08-15 2:37:08 PM] - Spencer Knight was added to Chicago Blackhawks.
873,[2025-08-15 2:37:08 PM] - Tristan Jarry was added to Pittsburgh Penguins.
874,[2025-08-15 2:37:08 PM] - Ilya Samsonov was added to Vegas Golden Knights.
875,[2025-08-15 2:37:08 PM] - Joel Hofer was added to St. Louis Blues.
876,[2025-08-15 2:37:08 PM] - David Rittich was added to Los Angeles Kings.
877,[2025-08-15 2:37:08 PM] - Alexandar Georgiev was added to San Jose Sharks.
878,[2025-08-15 2:37:08 PM] - Justus Annunen was added to Nashville Predators.
879,[2025-08-15 2:37:08 PM] - Alex Nedeljkovic was added to Pittsburgh Penguins.
880,[2025-08-15 2:37:08 PM] - Casey DeSmith was added to Dallas Stars.
881,[2025-08-15 2:37:08 PM] - Scott Wedgewood was added to Colorado Avalanche.
882,[2025-08-15 2:37:08 PM] - Alex Lyon was added to Detroit Red Wings.
883,[2025-08-15 2:37:08 PM] - Marc-Andre Fleury was added to Minnesota Wild.
884,[2025-08-15 2:37:08 PM] - Jake Allen was added to New Jersey Devils.
885,[2025-08-15 2:37:08 PM] - Frederik Andersen was added to Carolina Hurricanes.
886,[2025-08-15 2:37:08 PM] - Dan Vladar was added to Calgary Flames.
887,[2025-08-15 2:37:08 PM] - Petr Mrazek was added to Detroit Red Wings.
888,[2025-08-15 2:37:08 PM] - Anton Forsberg was added to Ottawa Senators.
889,[2025-08-15 2:37:08 PM] - Joonas Korpisalo was added to Boston Bruins.
890,[2025-08-15 2:37:08 PM] - John Gibson was added to Anaheim Ducks.
891,[2025-08-15 2:37:08 PM] - Jonathan Quick was added to New York Rangers.
892,[2025-08-15 2:37:08 PM] - Arvid Soderblom was added to Chicago Blackhawks.
893,[2025-08-15 2:37:08 PM] - Thatcher Demko was added to Vancouver Canucks.
894,[2025-08-15 2:37:08 PM] - James Reimer was added to Buffalo Sabres.
895,[2025-08-15 2:37:08 PM] - Connor Ingram was added to Utah Mammoth.
896,[2025-08-15 2:37:08 PM] - Jonas Johansson was added to Tampa Bay Lightning.
897,[2025-08-15 2:37:08 PM] - Eric Comrie was added to Winnipeg Jets.
898,[2025-08-15 2:37:08 PM] - Philipp Grubauer was added to Seattle Kraken.
899,[2025-08-15 2:37:08 PM] - Jakub Dobes was added to Montreal Canadiens.
900,[2025-08-15 2:37:08 PM] - Daniil Tarasov was added to Columbus Blue Jackets.
901,[2025-08-15 2:37:08 PM] - Jet Greaves was added to Columbus Blue Jackets.
902,[2025-08-15 2:37:08 PM] - Ivan Fedotov was added to Philadelphia Flyers.
903,[2025-08-15 2:37:08 PM] - Vitek Vanecek was added to Florida Panthers.
904,[2025-08-15 2:37:08 PM] - Aleksei Kolosov was added to Philadelphia Flyers.
905,[2025-08-15 2:37:08 PM] - Yaroslav Askarov was added to San Jose Sharks.
906,[2025-08-15 2:37:08 PM] - Joel Blomqvist was added to Pittsburgh Penguins.
907,[2025-08-15 2:37:08 PM] - Dustin Tokarski was added to Carolina Hurricanes.
908,[2025-08-15 2:37:08 PM] - Semyon Varlamov was added to New York Islanders.
909,[2025-08-15 2:37:08 PM] - Spencer Martin was added to Carolina Hurricanes.
910,[2025-08-15 2:37:08 PM] - Dennis Hildeby was added to Toronto Maple Leafs.
911,[2025-08-15 2:37:08 PM] - Nico Daws was added to New Jersey Devils.
912,[2025-08-15 2:37:08 PM] - Marcus Hogberg was added to New York Islanders.
913,[2025-08-15 2:37:08 PM] - Ville Husso was added to Anaheim Ducks.
914,[2025-08-15 2:37:08 PM] - Cayden Primeau was added to Montreal Canadiens.
915,[2025-08-15 2:37:08 PM] - Arturs Silovs was added to Vancouver Canucks.
916,[2025-08-15 2:37:08 PM] - Jaxson Stauber was added to Utah Mammoth.
917,[2025-08-15 2:37:08 PM] - Akira Schmid was added to Vegas Golden Knights.
918,[2025-08-15 2:37:08 PM] - Devon Levi was added to Buffalo Sabres.
919,[2025-08-15 2:37:08 PM] - Mads Sogaard was added to Ottawa Senators.
920,[2025-08-15 2:37:08 PM] - Matt Murray was added to Toronto Maple Leafs.
921,[2025-08-15 2:37:08 PM] - Nikita Tolopilo was added to Vancouver Canucks.
922,[2025-08-15 2:37:08 PM] - Erik Portillo was added to Los Angeles Kings.
923,[2025-08-15 2:37:08 PM] - Sebastian Cossa was added to Detroit Red Wings.
924,[2025-08-15 2:37:08 PM] - Louis Domingue was added to New York Rangers.
925,[2025-08-15 2:37:08 PM] - Matt Villalta was added to Utah Mammoth.
926,[2025-08-15 4:59:03 PM] - Columbus Blue Jackets roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

927,[2025-08-15 4:59:03 PM] - Cleveland Monsters roster errors : Not enough Centers available in Farm Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Forward available in Farm Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Farm Team! 0 Dressed. 6 Required.
Not enough Goalie available in Farm Team! 0 Dressed. 2 Required.
Not enough Players available in Farm Team! 0 Dressed. 18 Required.
Maximum Players Limit Reached in Farm Team!
Not enough Players available in Pro Team! 0 Dressed. 20 Required.
Some errors will be automatically fixed.

928,[2025-08-15 4:59:51 PM] - Random Salary Function has been run.
929,[2025-08-15 4:59:51 PM] - Random Contract Length Function has been run.
930,[2025-08-15 5:00:19 PM] - Toronto Maple Leafs roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

931,[2025-08-15 5:00:19 PM] - Toronto Marlies roster errors : Not enough Centers available in Farm Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Farm Team! 0 Dressed. 3 Required.
Not enough Forward available in Farm Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Farm Team! 0 Dressed. 6 Required.
Not enough Goalie available in Farm Team! 0 Dressed. 2 Required.
Not enough Players available in Farm Team! 0 Dressed. 18 Required.
Maximum Players Limit Reached in Farm Team!
Not enough Players available in Pro Team! 0 Dressed. 20 Required.
Some errors will be automatically fixed.

932,[2025-08-15 5:00:25 PM] - Alex Steeves of Toronto Maple Leafs was sent to pro.
933,[2025-08-15 5:00:33 PM] - Anthony Stolarz of Toronto Maple Leafs was sent to pro.
934,[2025-08-15 5:00:33 PM] - Auston Matthews of Toronto Maple Leafs was sent to pro.
935,[2025-08-15 5:00:33 PM] - Bobby McMann of Toronto Maple Leafs was sent to pro.
936,[2025-08-15 5:00:33 PM] - Brandon Carlo of Toronto Maple Leafs was sent to pro.
937,[2025-08-15 5:00:33 PM] - Calle Jarnkrok of Toronto Maple Leafs was sent to pro.
938,[2025-08-15 5:00:33 PM] - Chris Tanev of Toronto Maple Leafs was sent to pro.
939,[2025-08-15 5:00:33 PM] - David Kampf of Toronto Maple Leafs was sent to pro.
940,[2025-08-15 5:00:33 PM] - Dennis Hildeby of Toronto Maple Leafs was sent to pro.
941,[2025-08-15 5:00:33 PM] - Jake McCabe of Toronto Maple Leafs was sent to pro.
942,[2025-08-15 5:00:33 PM] - John Tavares of Toronto Maple Leafs was sent to pro.
943,[2025-08-15 5:00:33 PM] - Joseph Woll of Toronto Maple Leafs was sent to pro.
944,[2025-08-15 5:00:33 PM] - Matt Murray of Toronto Maple Leafs was sent to pro.
945,[2025-08-15 5:00:33 PM] - Matthew Knies of Toronto Maple Leafs was sent to pro.
946,[2025-08-15 5:00:33 PM] - Max Domi of Toronto Maple Leafs was sent to pro.
947,[2025-08-15 5:00:33 PM] - Max Pacioretty of Toronto Maple Leafs was sent to pro.
948,[2025-08-15 5:00:33 PM] - Mitch Marner of Toronto Maple Leafs was sent to pro.
949,[2025-08-15 5:00:33 PM] - Morgan Rielly of Toronto Maple Leafs was sent to pro.
950,[2025-08-15 5:00:33 PM] - Nicholas Robertson of Toronto Maple Leafs was sent to pro.
951,[2025-08-15 5:00:33 PM] - Oliver Ekman-Larsson of Toronto Maple Leafs was sent to pro.
952,[2025-08-15 5:00:33 PM] - Philippe Myers of Toronto Maple Leafs was sent to pro.
953,[2025-08-15 5:00:33 PM] - Pontus Holmberg of Toronto Maple Leafs was sent to pro.
954,[2025-08-15 5:00:33 PM] - Scott Laughton of Toronto Maple Leafs was sent to pro.
955,[2025-08-15 5:00:36 PM] - Simon Benoit of Toronto Maple Leafs was sent to pro.
956,[2025-08-15 5:00:36 PM] - Steven Lorentz of Toronto Maple Leafs was sent to pro.
957,[2025-08-15 5:00:36 PM] - William Nylander of Toronto Maple Leafs was sent to pro.
958,[2025-08-15 5:01:49 PM] - Game Option - Full Farm Option Deactivated
959,[2025-08-15 5:01:57 PM] - Radko Gudas of Anaheim Ducks was sent to pro.
960,[2025-08-15 5:01:57 PM] - Jackson LaCombe of Anaheim Ducks was sent to pro.
961,[2025-08-15 5:01:57 PM] - Jacob Trouba of Anaheim Ducks was sent to pro.
962,[2025-08-15 5:01:57 PM] - Frank Vatrano of Anaheim Ducks was sent to pro.
963,[2025-08-15 5:01:57 PM] - Troy Terry of Anaheim Ducks was sent to pro.
964,[2025-08-15 5:01:57 PM] - Mason McTavish of Anaheim Ducks was sent to pro.
965,[2025-08-15 5:01:57 PM] - Alex Killorn of Anaheim Ducks was sent to pro.
966,[2025-08-15 5:01:57 PM] - Leo Carlsson of Anaheim Ducks was sent to pro.
967,[2025-08-15 5:01:57 PM] - Ryan Strome of Anaheim Ducks was sent to pro.
968,[2025-08-15 5:01:57 PM] - Pavel Mintyukov of Anaheim Ducks was sent to pro.
969,[2025-08-15 5:01:57 PM] - Trevor Zegras of Anaheim Ducks was sent to pro.
970,[2025-08-15 5:01:57 PM] - Brett Leason of Anaheim Ducks was sent to pro.
971,[2025-08-15 5:01:57 PM] - Cutter Gauthier of Anaheim Ducks was sent to pro.
972,[2025-08-15 5:01:57 PM] - Robby Fabbri of Anaheim Ducks was sent to pro.
973,[2025-08-15 5:01:57 PM] - Olen Zellweger of Anaheim Ducks was sent to pro.
974,[2025-08-15 5:01:57 PM] - Isac Lundestrom of Anaheim Ducks was sent to pro.
975,[2025-08-15 5:01:57 PM] - Drew Helleson of Anaheim Ducks was sent to pro.
976,[2025-08-15 5:01:57 PM] - Brock McGinn of Anaheim Ducks was sent to pro.
977,[2025-08-15 5:01:57 PM] - Lukas Dostal of Anaheim Ducks was sent to pro.
978,[2025-08-15 5:01:57 PM] - John Gibson of Anaheim Ducks was sent to pro.
979,[2025-08-15 5:01:57 PM] - Auto Roster Function has been run for Anaheim Ducks.
980,[2025-08-15 5:01:58 PM] - Alex Tuch of Buffalo Sabres was sent to pro.
981,[2025-08-15 5:01:58 PM] - Rasmus Dahlin of Buffalo Sabres was sent to pro.
982,[2025-08-15 5:01:58 PM] - Tage Thompson of Buffalo Sabres was sent to pro.
983,[2025-08-15 5:01:58 PM] - Josh Norris of Buffalo Sabres was sent to pro.
984,[2025-08-15 5:01:58 PM] - Owen Power of Buffalo Sabres was sent to pro.
985,[2025-08-15 5:01:58 PM] - Bowen Byram of Buffalo Sabres was sent to pro.
986,[2025-08-15 5:01:58 PM] - Connor Clifton of Buffalo Sabres was sent to pro.
987,[2025-08-15 5:01:58 PM] - JJ Peterka of Buffalo Sabres was sent to pro.
988,[2025-08-15 5:01:58 PM] - Mattias Samuelsson of Buffalo Sabres was sent to pro.
989,[2025-08-15 5:01:58 PM] - Jordan Greenway of Buffalo Sabres was sent to pro.
990,[2025-08-15 5:01:58 PM] - Ryan McLeod of Buffalo Sabres was sent to pro.
991,[2025-08-15 5:01:58 PM] - Jason Zucker of Buffalo Sabres was sent to pro.
992,[2025-08-15 5:01:58 PM] - Jack Quinn of Buffalo Sabres was sent to pro.
993,[2025-08-15 5:01:58 PM] - Jacob Bernard-Docker of Buffalo Sabres was sent to pro.
994,[2025-08-15 5:01:58 PM] - Beck Malenstyn of Buffalo Sabres was sent to pro.
995,[2025-08-15 5:01:58 PM] - Sam Lafferty of Buffalo Sabres was sent to pro.
996,[2025-08-15 5:01:58 PM] - Zach Benson of Buffalo Sabres was sent to pro.
997,[2025-08-15 5:01:58 PM] - Jiri Kulich of Buffalo Sabres was sent to pro.
998,[2025-08-15 5:01:58 PM] - Ukko-Pekka Luukkonen of Buffalo Sabres was sent to pro.
999,[2025-08-15 5:01:58 PM] - James Reimer of Buffalo Sabres was sent to pro.
1000,[2025-08-15 5:01:58 PM] - Auto Roster Function has been run for Buffalo Sabres.
1001,[2025-08-15 5:01:58 PM] - MacKenzie Weegar of Calgary Flames was sent to pro.
1002,[2025-08-15 5:01:58 PM] - Nazem Kadri of Calgary Flames was sent to pro.
1003,[2025-08-15 5:01:58 PM] - Blake Coleman of Calgary Flames was sent to pro.
1004,[2025-08-15 5:01:58 PM] - Rasmus Andersson of Calgary Flames was sent to pro.
1005,[2025-08-15 5:01:58 PM] - Kevin Bahl of Calgary Flames was sent to pro.
1006,[2025-08-15 5:01:58 PM] - Jonathan Huberdeau of Calgary Flames was sent to pro.
1007,[2025-08-15 5:01:58 PM] - Mikael Backlund of Calgary Flames was sent to pro.
1008,[2025-08-15 5:01:58 PM] - Anthony Mantha of Calgary Flames was sent to pro.
1009,[2025-08-15 5:01:58 PM] - Yegor Sharangovich of Calgary Flames was sent to pro.
1010,[2025-08-15 5:01:58 PM] - Morgan Frost of Calgary Flames was sent to pro.
1011,[2025-08-15 5:01:58 PM] - Joel Farabee of Calgary Flames was sent to pro.
1012,[2025-08-15 5:01:58 PM] - Connor Zary of Calgary Flames was sent to pro.
1013,[2025-08-15 5:01:58 PM] - Matt Coronato of Calgary Flames was sent to pro.
1014,[2025-08-15 5:01:58 PM] - Daniil Miromanov of Calgary Flames was sent to pro.
1015,[2025-08-15 5:01:58 PM] - Brayden Pachal of Calgary Flames was sent to pro.
1016,[2025-08-15 5:01:58 PM] - Tyson Barrie of Calgary Flames was sent to pro.
1017,[2025-08-15 5:01:58 PM] - Jake Bean of Calgary Flames was sent to pro.
1018,[2025-08-15 5:01:58 PM] - Adam Klapka of Calgary Flames was sent to pro.
1019,[2025-08-15 5:01:58 PM] - Dustin Wolf of Calgary Flames was sent to pro.
1020,[2025-08-15 5:01:58 PM] - Dan Vladar of Calgary Flames was sent to pro.
1021,[2025-08-15 5:01:58 PM] - Auto Roster Function has been run for Calgary Flames.
1022,[2025-08-15 5:01:59 PM] - Nathan MacKinnon of Colorado Avalanche was sent to pro.
1023,[2025-08-15 5:01:59 PM] - Cale Makar of Colorado Avalanche was sent to pro.
1024,[2025-08-15 5:01:59 PM] - Devon Toews of Colorado Avalanche was sent to pro.
1025,[2025-08-15 5:01:59 PM] - Valeri Nichushkin of Colorado Avalanche was sent to pro.
1026,[2025-08-15 5:01:59 PM] - Brock Nelson of Colorado Avalanche was sent to pro.
1027,[2025-08-15 5:01:59 PM] - Charlie Coyle of Colorado Avalanche was sent to pro.
1028,[2025-08-15 5:01:59 PM] - Martin Necas of Colorado Avalanche was sent to pro.
1029,[2025-08-15 5:01:59 PM] - Josh Manson of Colorado Avalanche was sent to pro.
1030,[2025-08-15 5:01:59 PM] - Erik Johnson of Colorado Avalanche was sent to pro.
1031,[2025-08-15 5:01:59 PM] - Artturi Lehkonen of Colorado Avalanche was sent to pro.
1032,[2025-08-15 5:01:59 PM] - Jonathan Drouin of Colorado Avalanche was sent to pro.
1033,[2025-08-15 5:01:59 PM] - Ryan Lindgren of Colorado Avalanche was sent to pro.
1034,[2025-08-15 5:01:59 PM] - Samuel Girard of Colorado Avalanche was sent to pro.
1035,[2025-08-15 5:01:59 PM] - Logan O'Connor of Colorado Avalanche was sent to pro.
1036,[2025-08-15 5:01:59 PM] - Ross Colton of Colorado Avalanche was sent to pro.
1037,[2025-08-15 5:01:59 PM] - Parker Kelly of Colorado Avalanche was sent to pro.
1038,[2025-08-15 5:01:59 PM] - Miles Wood of Colorado Avalanche was sent to pro.
1039,[2025-08-15 5:01:59 PM] - Chris Wagner of Colorado Avalanche was sent to pro.
1040,[2025-08-15 5:01:59 PM] - Mackenzie Blackwood of Colorado Avalanche was sent to pro.
1041,[2025-08-15 5:01:59 PM] - Scott Wedgewood of Colorado Avalanche was sent to pro.
1042,[2025-08-15 5:01:59 PM] - Auto Roster Function has been run for Colorado Avalanche.
1043,[2025-08-15 5:01:59 PM] - Zach Werenski of Columbus Blue Jackets was sent to pro.
1044,[2025-08-15 5:01:59 PM] - Sean Monahan of Columbus Blue Jackets was sent to pro.
1045,[2025-08-15 5:01:59 PM] - Boone Jenner of Columbus Blue Jackets was sent to pro.
1046,[2025-08-15 5:01:59 PM] - Kirill Marchenko of Columbus Blue Jackets was sent to pro.
1047,[2025-08-15 5:01:59 PM] - Ivan Provorov of Columbus Blue Jackets was sent to pro.
1048,[2025-08-15 5:01:59 PM] - Damon Severson of Columbus Blue Jackets was sent to pro.
1049,[2025-08-15 5:01:59 PM] - Dmitri Voronkov of Columbus Blue Jackets was sent to pro.
1050,[2025-08-15 5:01:59 PM] - Adam Fantilli of Columbus Blue Jackets was sent to pro.
1051,[2025-08-15 5:01:59 PM] - Kent Johnson of Columbus Blue Jackets was sent to pro.
1052,[2025-08-15 5:01:59 PM] - Yegor Chinakhov of Columbus Blue Jackets was sent to pro.
1053,[2025-08-15 5:01:59 PM] - James van Riemsdyk of Columbus Blue Jackets was sent to pro.
1054,[2025-08-15 5:01:59 PM] - Dante Fabbro of Columbus Blue Jackets was sent to pro.
1055,[2025-08-15 5:01:59 PM] - Cole Sillinger of Columbus Blue Jackets was sent to pro.
1056,[2025-08-15 5:01:59 PM] - Justin Danforth of Columbus Blue Jackets was sent to pro.
1057,[2025-08-15 5:01:59 PM] - Mathieu Olivier of Columbus Blue Jackets was sent to pro.
1058,[2025-08-15 5:01:59 PM] - Jordan Harris of Columbus Blue Jackets was sent to pro.
1059,[2025-08-15 5:01:59 PM] - Jake Christiansen of Columbus Blue Jackets was sent to pro.
1060,[2025-08-15 5:01:59 PM] - Mikael Pyyhtia of Columbus Blue Jackets was sent to pro.
1061,[2025-08-15 5:01:59 PM] - Elvis Merzlikins of Columbus Blue Jackets was sent to pro.
1062,[2025-08-15 5:01:59 PM] - Daniil Tarasov of Columbus Blue Jackets was sent to pro.
1063,[2025-08-15 5:01:59 PM] - Auto Roster Function has been run for Columbus Blue Jackets.
1064,[2025-08-15 5:01:59 PM] - Moritz Seider of Detroit Red Wings was sent to pro.
1065,[2025-08-15 5:01:59 PM] - Dylan Larkin of Detroit Red Wings was sent to pro.
