InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Retire,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProSecondPlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPSecondPlay,ProPKG,ProPKA,ProPKShots,ProPKSecondPlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmSecondPlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPSecondPlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKSecondPlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
210,209,C.J. Smith,https://www.nhl.com/player/8480083,0,USA,1994-12-01,30,184,71,False,True,False,False,4,False,False,False,False,False,True,True,False,False,False,0,2651000,2651000,2651000,2651000,2651000,0,0,0,0,0,0,,0,100,0,8480083,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,60,37,91,61,69,87,65,59,68,64,57,61,58,71,73,34,40,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
211,210,Cade Webber,https://www.nhl.com/player/8481570,0,USA,2001-01-05,24,212,79,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,1485000,1485000,1485000,1485000,1485000,0,0,0,0,0,0,,0,100,0,8481570,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,89,53,81,58,98,63,70,56,30,54,52,61,45,64,66,60,40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
212,211,Caedan Bankier,https://www.nhl.com/player/8482863,0,CAN,2003-01-26,22,192,74,True,False,False,False,4,False,False,False,False,False,True,True,False,False,False,0,1263000,1263000,1263000,1263000,1263000,0,0,0,0,0,0,,0,100,0,8482863,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,70,40,84,59,79,84,82,57,63,56,58,55,59,62,64,66,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
213,212,Cal O'Reilly,https://www.nhl.com/player/8471811,0,CAN,1986-09-30,39,188,72,True,False,False,False,2,False,False,False,False,False,True,True,False,False,False,0,3520000,3520000,3520000,0,0,0,0,0,0,0,0,,0,100,0,8471811,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,63,36,95,62,72,70,86,61,73,65,57,63,59,79,81,19,40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,213,Cale Fleury,https://www.nhl.com/player/8479985,0,CAN,1998-11-19,26,204,73,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,2860000,2860000,2860000,0,0,0,0,0,0,0,0,,0,100,0,8479985,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,73,38,92,65,78,81,82,62,30,64,58,66,51,67,69,54,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
215,214,Cale Makar,https://www.nhl.com/player/8480069,7,CAN,1998-10-30,26,187,72,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,3130000,3130000,3130000,0,0,0,0,0,0,0,0,,0,100,0,8480069,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,64,34,94,85,72,95,90,81,30,95,86,91,63,69,70,76,50,79,4,20,7,7,14,3,0,0,13,17,11,6,11,2,1,0,0,0,0,0,6690,2,1,2,5,1299,0,2,1,871,9,9,1311,0,0,0,2,1,0,0,2650,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,
216,215,Caleb Jones,https://www.nhl.com/player/8478452,0,USA,1997-06-06,28,194,73,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,3215000,3215000,3215000,3215000,0,0,0,0,0,0,0,,0,100,0,8478452,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,72,38,86,65,76,79,76,63,30,70,58,62,50,69,70,49,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,216,Calen Addison,https://www.nhl.com/player/8480884,0,CAN,2000-04-11,25,173,71,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,1491000,1491000,1491000,1491000,0,0,0,0,0,0,0,,0,100,0,8480884,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,58,40,71,65,67,73,85,63,30,66,54,56,48,65,67,68,40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
218,217,Callahan Burke,https://www.nhl.com/player/8482250,30,USA,1997-03-19,28,183,70,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,3704000,3704000,3704000,3704000,0,0,0,0,0,0,0,,0,98,0,8482250,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,58,35,91,63,67,82,83,60,71,61,59,61,59,68,70,36,45,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,6,11,17,8,0,0,1,4,13,3,10,0,0,33,64,0,0,0,6138,1,2,2,4,570,0,1,0,403,7,9,813,0,0,0,1,0,0,0,1,2,0,70,3025,3025,
219,218,Calle Jarnkrok,https://www.nhl.com/player/8475714,27,SWE,1991-09-25,34,191,72,True,False,False,False,5,False,False,False,False,False,True,True,False,False,False,0,2894000,2894000,2894000,2894000,2894000,2894000,0,0,0,0,0,,0,100,0,8475714,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,70,35,90,73,72,85,74,69,71,70,65,75,67,81,76,38,53,69,4,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,7,0,0,0,768,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,80,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,
220,219,Calle Odelius,https://www.nhl.com/player/8483498,0,SWE,2004-05-30,21,201,72,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,1207000,1207000,1207000,1207000,1207000,0,0,0,0,0,0,,0,100,0,8483498,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,66,38,90,59,75,64,71,58,30,56,52,54,45,61,63,67,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
221,220,Calle Rosen,https://www.nhl.com/player/8480157,0,SWE,1994-02-02,31,188,73,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,2155000,2155000,2155000,2155000,0,0,0,0,0,0,0,,0,100,0,8480157,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,65,37,91,66,75,80,86,64,30,65,56,62,50,71,73,34,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
222,221,Calvin de Haan,https://www.nhl.com/player/8475177,0,CAN,1991-05-09,34,192,73,False,False,False,True,5,False,False,False,False,False,True,True,False,False,False,0,3260000,3260000,3260000,3260000,3260000,3260000,0,0,0,0,0,,0,100,0,8475177,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,75,35,90,62,76,86,80,60,30,70,55,76,50,80,74,45,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
223,222,Cam Atkinson,https://www.nhl.com/player/8474715,26,USA,1989-06-05,36,178,68,False,False,True,False,2,False,False,False,False,False,True,True,False,False,False,0,3871000,3871000,3871000,0,0,0,0,0,0,0,0,,0,100,0,8474715,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,62,39,89,69,64,82,80,67,59,66,65,69,68,84,78,24,45,66,4,1,0,0,0,1,0,0,2,0,0,4,4,0,0,1,2,0,0,0,2787,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,45,295,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,
224,223,Cam Dineen,https://www.nhl.com/player/8479341,0,USA,1998-06-19,27,188,71,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,1832000,1832000,1832000,1832000,1832000,0,0,0,0,0,0,,0,100,0,8479341,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,60,36,90,62,70,87,83,59,30,63,56,65,49,67,69,56,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
225,224,Cam Fowler,https://www.nhl.com/player/8475764,25,USA,1991-12-05,33,210,74,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,5360000,5360000,5360000,5360000,0,0,0,0,0,0,0,,0,99,0,8475764,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,60,36,92,74,82,94,88,72,30,81,66,80,56,87,75,45,39,74,4,5,0,3,3,4,0,0,6,5,0,3,8,0,0,0,0,0,0,0,6470,0,0,0,1,878,0,0,0,1215,2,4,412,0,0,0,0,0,0,395,635,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,
226,225,Cam Lund,https://www.nhl.com/player/8483481,23,USA,2004-06-07,21,195,74,True,False,False,False,1,False,False,False,False,False,True,True,False,False,False,0,2331000,2331000,0,0,0,0,0,0,0,0,0,,0,99,0,8483481,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,61,36,89,65,79,78,61,64,70,61,62,63,65,60,61,77,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,3,2,5,-8,0,0,2,4,13,2,2,0,1,29,48,0,0,0,5050,0,1,1,1,475,0,0,2,771,6,3,644,0,0,0,0,0,1,3,4,0,0,255,850,850,
227,226,Cam McDonald,https://www.nhl.com/player/8484985,0,USA,2001-02-03,24,174,69,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,2032000,2032000,2032000,0,0,0,0,0,0,0,0,,0,100,0,8484985,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,55,37,84,54,64,62,63,53,30,52,50,55,45,64,66,43,40,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
228,227,Cam York,https://www.nhl.com/player/8481546,21,USA,2001-01-05,24,194,72,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,3222000,3222000,3222000,3222000,0,0,0,0,0,0,0,,0,100,0,8481546,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,69,35,85,72,75,92,88,70,30,74,66,82,55,65,67,82,40,72,3,5,1,0,1,1,2,0,5,4,4,2,5,0,0,0,0,0,0,0,3589,0,1,0,3,463,0,0,0,390,4,2,388,0,0,0,0,0,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
229,228,Camden Thiesing,https://www.nhl.com/player/8484830,0,USA,2001-03-26,24,189,72,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,2151000,2151000,2151000,2151000,0,0,0,0,0,0,0,,0,100,0,8484830,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,63,40,74,58,72,77,69,57,61,55,56,53,57,64,66,43,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,229,Cameron Butler,https://www.nhl.com/player/8483045,0,CAN,2002-06-09,23,210,76,False,False,True,False,3,False,False,False,False,False,True,True,False,False,False,0,1968000,1968000,1968000,1968000,0,0,0,0,0,0,0,,0,100,0,8483045,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,72,45,61,56,89,67,76,55,52,53,54,57,56,63,65,43,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
231,230,Cameron Crotty,https://www.nhl.com/player/8480075,0,CAN,1999-05-05,26,182,75,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,1333000,1333000,1333000,1333000,1333000,0,0,0,0,0,0,,0,100,0,8480075,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,71,40,78,62,80,70,83,59,30,60,58,61,49,66,70,61,40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
232,231,Cameron Hebig,https://www.nhl.com/player/8479656,0,CAN,1997-01-21,28,184,71,True,False,False,False,1,False,False,False,False,False,True,True,False,False,False,0,2480000,2480000,0,0,0,0,0,0,0,0,0,,0,100,0,8479656,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,60,38,83,63,69,85,84,64,67,63,62,61,64,68,70,36,40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
233,232,Cameron Hughes,https://www.nhl.com/player/8478888,0,CAN,1996-10-09,28,160,71,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,3422000,3422000,3422000,3422000,0,0,0,0,0,0,0,,0,100,0,8478888,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,55,39,74,65,64,85,86,63,74,66,64,67,62,69,71,40,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
234,233,Cameron Wright,https://www.nhl.com/player/8483837,0,CAN,1998-08-11,27,194,73,False,False,True,False,3,False,False,False,False,False,True,True,False,False,False,0,1327000,1327000,1327000,1327000,0,0,0,0,0,0,0,,0,100,0,8483837,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,67,41,72,57,76,86,80,58,53,55,59,56,58,67,69,37,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
235,234,Carl Berglund,https://www.nhl.com/player/8484127,0,SWE,2000-01-16,25,207,74,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,1609000,1609000,1609000,1609000,0,0,0,0,0,0,0,,0,100,0,8484127,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,73,38,94,58,82,76,70,56,64,57,53,59,54,65,67,42,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
236,235,Carl Grundstrom,https://www.nhl.com/player/8479336,23,SWE,1997-12-01,27,200,72,False,False,True,False,5,False,False,False,False,False,True,True,False,False,False,0,2514000,2514000,2514000,2514000,2514000,2514000,0,0,0,0,0,,0,96,0,8479336,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,84,35,90,66,74,76,80,64,56,60,63,63,61,69,71,58,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,5,2,7,-5,0,0,4,6,15,4,8,1,0,3,7,0,1,0,5640,0,0,1,0,338,3,0,7,1324,13,6,821,0,0,0,1,1,0,0,4,1,0,140,1095,1095,
237,236,Carsen Twarynski,https://www.nhl.com/player/8479358,0,CAN,1997-11-24,27,198,74,False,True,False,False,3,False,False,False,False,False,True,True,False,False,False,0,1577000,1577000,1577000,1577000,0,0,0,0,0,0,0,,0,100,0,8479358,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,71,40,78,59,80,78,71,58,55,56,57,59,56,68,70,53,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
238,237,Carson Bantle,https://www.nhl.com/player/8482490,0,USA,2002-01-22,23,194,76,False,True,False,False,3,False,False,False,False,False,True,True,False,False,False,0,1901000,1901000,1901000,1901000,0,0,0,0,0,0,0,,0,100,0,8482490,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,76,43,71,55,85,69,63,54,50,52,53,56,54,63,65,55,40,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
239,238,Carson Golder,https://www.nhl.com/player/8484299,0,CAN,2002-10-29,22,196,72,False,True,False,False,3,False,False,False,False,False,True,True,False,False,False,0,2123000,2123000,2123000,2123000,0,0,0,0,0,0,0,,0,100,0,8484299,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,65,38,90,56,74,73,63,55,59,57,52,58,54,63,65,43,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
240,239,Carson Lambos,https://www.nhl.com/player/8482781,0,CAN,2003-01-14,22,197,73,False,False,False,True,1,False,False,False,False,False,True,True,False,False,False,0,1425000,1425000,0,0,0,0,0,0,0,0,0,,0,100,0,8482781,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,68,40,75,57,77,67,86,56,30,55,54,58,46,62,64,80,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
241,240,Carson Meyer,https://www.nhl.com/player/8480292,0,USA,1997-08-18,28,184,71,False,False,True,False,4,False,False,False,False,False,True,True,False,False,False,0,2349000,2349000,2349000,2349000,2349000,0,0,0,0,0,0,,0,100,0,8480292,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,71,39,73,64,70,84,78,63,56,62,61,60,63,68,70,42,40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
242,241,Carson Soucy,https://www.nhl.com/player/8477369,19,CAN,1994-07-27,31,208,77,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,2547000,2547000,2547000,2547000,2547000,0,0,0,0,0,0,,0,100,0,8477369,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,74,77,84,64,91,88,81,63,30,68,59,76,51,73,72,44,40,70,5,4,0,3,3,-2,4,0,4,0,1,5,11,0,0,0,0,0,0,0,6083,0,0,0,1,584,0,0,0,821,1,1,291,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,
243,242,Carter Mazur,https://www.nhl.com/player/8482802,0,USA,2002-03-28,23,170,72,False,True,False,False,2,False,False,False,False,False,True,True,False,False,False,0,2169000,2169000,2169000,0,0,0,0,0,0,0,0,,0,100,0,8482802,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,57,37,78,63,68,84,74,62,59,60,61,64,62,63,65,66,40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
244,243,Carter Verhaeghe,https://www.nhl.com/player/8477409,12,CAN,1995-08-14,30,183,74,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,4097000,4097000,4097000,4097000,0,0,0,0,0,0,0,,0,99,0,8477409,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,70,35,83,81,77,87,90,78,65,80,79,64,77,73,76,51,57,73,5,14,5,10,15,8,0,0,2,6,8,5,3,1,0,8,18,0,0,0,6008,0,2,5,4,1025,0,0,0,45,8,0,1031,0,0,0,2,1,0,270,2665,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,
